patch_addr,mem_old,patch
0x14252d0,90E92A11B175,FF25948B5801
0x14a9ae4,90E9C6403375,FF25D4805801
0x14a9aea,90E900BE3275,FF250C815801
0x14a9af0,90E98A8F3275,FF25D8805801
0x14a9af6,90E964A73275,FF25DC805801
0x14a9afc,90E9DE403375,FF25E0805801
0x14a9b02,90E9C8303375,FF25E4805801
0x14a9b08,90E9228F3275,FF25E8805801
0x14a9b0e,90E9BCF93275,FF25EC805801
0x14a9b14,90E996FA3275,FF25F0805801
0x14a9b1a,90E980203375,FF25F4805801
0x14a9b20,90E93AE93275,FF25F8805801
0x14a9b26,90E944F13275,FF25FC805801
0x14a9b2c,90E90EF93275,FF2500815801
0x14a9b32,90E9C8323375,FF2504815801
0x14a9b38,90E982E63275,FF2508815801
0x14a9b3e,90E90CDA3275,FF25D0805801
0x14a9b44,90E956F43275,FF25CC805801
0x14a9b4a,90E910403375,FF25C4805801
0x14a9b50,90E92ABC3275,FF25C8805801
0x14aa89a,90E9F0156B74,FF255C895801
0x14aa8a0,90E9BAF66A74,FF2558895801
0x14aa8a6,90E9B4F76E74,FF2548895801
0x14aa8ac,90E90EF76E74,FF2554895801
0x14aa8b2,90E9E8D66A74,FF2550895801
0x14aa8b8,90E9A2D86A74,FF254C895801
0x14aa8be,90E9DC9E9273,FF252C8B5801
0x14aa8c4,90E906909273,FF25308B5801
0x14aa8ca,90E9E04F9373,FF25288B5801
0x14aa8d0,90E92A939273,FF25248B5801
0x14aa8d6,90E9B44F9373,FF25208B5801
0x14aa8dc,90E98E4F9373,FF251C8B5801
0x14aa8e2,90E968B4A875,FF25208C5801
0x14aa8e8,90E9F2ADA875,FF257C8B5801
0x14aa8e8,90E9F2ADA875,FF257C8B5801
0x14aa8ee,90E9ECADA875,FF257C8B5801
0x14aa8ee,90E9ECADA875,FF257C8B5801
0x14aa8f4,90E9E6AEA875,FF25848B5801
0x14aa8fa,90E940B0A875,FF25888B5801
0x14aa900,90E90A56AB75,FF258C8B5801
0x14aa906,90E99457AB75,FF25908B5801
0x14aa90c,90E9EEBAA875,FF25948B5801
0x14aa912,90E9A8F3A875,FF25988B5801
0x14aa918,90E982AFA975,FF259C8B5801
0x14aa91e,90E98CB1A975,FF25A08B5801
0x14aa924,90E94679A975,FF25A48B5801
0x14aa92a,90E9D088A975,FF25A88B5801
0x14aa930,90E97A89A975,FF25AC8B5801
0x14aa936,90E9744AA975,FF25B08B5801
0x14aa93c,90E92E47A975,FF25B48B5801
0x14aa942,90E9C8B6A875,FF25B88B5801
0x14aa948,90E9D27BA975,FF25BC8B5801
0x14aa94e,90E9FCB4A975,FF25C88B5801
0x14aa954,90E906B0A975,FF25CC8B5801
0x14aa95a,90E940AEA875,FF25D88B5801
0x14aa960,90E95A22A975,FF25DC8B5801
0x14aa966,90E92420A975,FF25E08B5801
0x14aa96c,90E9EE40A975,FF25E48B5801
0x14aa972,90E948C0A975,FF25E88B5801
0x14aa978,90E992ADA975,FF25EC8B5801
0x14aa97e,90E9EC43A975,FF25F08B5801
0x14aa984,90E9C6C6A975,FF25F48B5801
0x14aa98a,90E96036A975,FF25F88B5801
0x14aa990,90E9FAB3A975,FF25FC8B5801
0x14aa996,90E9C41EA975,FF25008C5801
0x14aa99c,90E97EAEAB75,FF25048C5801
0x14aa9a2,90E9B8B7A975,FF25088C5801
0x14aa9a8,90E9E22EA975,FF250C8C5801
0x14aa9ae,90E99CB8A875,FF25108C5801
0x14aa9b4,90E9E679A975,FF25148C5801
0x14aa9ba,90E9C0CBA875,FF25188C5801
0x14aa9c0,90E94AFEA875,FF251C8C5801
0x14aa9c6,90E98476AE5A,FF25248E5801
0x14aa9cc,90E94E75AE5A,FF251C8E5801
0x14aa9d2,90E91876AE5A,FF25208E5801
0x14aa9d8,90E9A26A5174,FF2530895801
0x14aa9de,90E91F95565C,FF25C8875801
0x14aa9f4,90E96596565C,FF25CC875801
0x14aa9fa,90E94096565C,FF25D0875801
0x14aaad4,90E94994565C,FF25D4875801
0x14aaada,90E9B993565C,FF258C885801
0x14aab3c,90E9956E575C,FF25DC875801
0x14aabfe,90E9B013565C,FF25E0875801
0x14aac04,90E98714565C,FF25E4875801
0x14aac0a,90E96614565C,FF25E8875801
0x14aac10,90E92413565C,FF25EC875801
0x14aac16,90E9AD20575C,FF25F0875801
0x14aac1c,90E90213565C,FF25F4875801
0x14aac88,90E9F09C535C,FF25F8875801
0x14aac8e,90E9A36D585C,FF25FC875801
0x14aac94,90E9A590565C,FF2500885801
0x14aac9a,90E975B7565C,FF2504885801
0x14aaca0,90E9A88E565C,FF2508885801
0x14aaca6,90E9C781535C,FF250C885801
0x14aacac,90E9F1BC535C,FF2510885801
0x14aacb2,90E929BE535C,FF2514885801
0x14aacb8,90E9B926545C,FF2518885801
0x14aacbe,90E9FD73535C,FF251C885801
0x14aacc4,90E95BBD535C,FF2520885801
0x14aacca,90E94682535C,FF2524885801
0x14aacd0,90E99386535C,FF2528885801
0x14aacd6,90E965C4535C,FF252C885801
0x14aacdc,90E948C5535C,FF2530885801
0x14aace2,90E9B07C535C,FF2534885801
0x14aace8,90E9F6A0535C,FF2538885801
0x14aacee,90E930C8535C,FF253C885801
0x14aacf4,90E9AAA1535C,FF2540885801
0x14aacfa,90E9C09C575C,FF2544885801
0x14aad00,90E9D4F0535C,FF2548885801
0x14aad06,90E9A0F7535C,FF254C885801
0x14aad0c,90E979A4535C,FF2550885801
